Alcanivorax pacificus
Algibacter alginicilyticus
Algibacter aquaticus
Algibacter lectus
Algibacter pectinivorans
Algicola sagamiensis
Algiphilus aromaticivorans
Algoriella xinjiangensis
Algoriphagus alkaliphilus
Algoriphagus antarcticus
Algoriphagus aquimarinus
Algoriphagus faecimaris
Algoriphagus halophilus
Algoriphagus hitonicola
Algoriphagus machipongonensis
Algoriphagus mannitolivorans
Algoriphagus marincola
Algoriphagus marinus
Algoriphagus ornithinivorans
Algoriphagus ratkowskyi
Algoriphagus resistens
Algoriphagus terrigena
Algoriphagus vanfongensis
Algoriphagus zhangzhouensis
Aliagarivorans marinus
Alicycliphilus denitrificans
Alicyclobacillus acidiphilus
Alicyclobacillus acidocaldarius
Alicyclobacillus acidoterrestris
Alicyclobacillus contaminans
Alicyclobacillus ferrooxydans
Alicyclobacillus herbarius
Alicyclobacillus hesperidum
Alicyclobacillus kakegawensis
Alicyclobacillus macrosporangiidus
Alicyclobacillus mali
Alicyclobacillus pomorum
Alicyclobacillus vulcanalis
Aliiarcobacter faecis
Aliicoccus persicus
Aliifodinibius roseus
Aliiglaciecola lipolytica
Aliiroseovarius crassostreae
Aliiroseovarius sediminilitoris
Aliivibrio salmonicida
Aliivibrio wodanis
Alishewanella agri
Alistipes finegoldii
Alistipes ihumii
Alistipes indistinctus
Alistipes inops
Alistipes obesi
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes timonensis
Aliterella atlantica CENA595
Alkalibacillus haloalkaliphilus
Alkalibacter saccharofermentans
Alkalibacterium gilvum
Alkalibacterium pelagium
Alkalibacterium subtropicum
Alkaliflexus imshenetskii
Alkalilimnicola ehrlichii
Alkalimonas amylolytica
Alkaliphilus metalliredigens
Alkaliphilus oremlandii
Alkaliphilus peptidifermentans
Alkaliphilus transvaalensis
Alkalispirochaeta alkalica
Alkalispirochaeta americana
Alkalispirochaeta odontotermitis
Alkalitalea saponilacus
Alkanindiges illinoisensis
Allisonella histaminiformans
Alloactinosynnema album
Alloactinosynnema iranicum
Allobaculum stercoricanis
Allochromatium vinosum
Allochromatium warmingii
Allofrancisella guangzhouensis
Allofustis seminis
Alloiococcus otitis
Allokutzneria albata
Alloprevotella rava
Alloprevotella tannerae
Allosalinactinospora lopnorensis
Alloscardovia criceti
Alloscardovia macacae
Alloscardovia omnicolens
Altererythrobacter atlanticus
Altererythrobacter dongtanensis
Altererythrobacter epoxidivorans
Altererythrobacter ishigakiensis
Altererythrobacter marensis
Altererythrobacter namhicola
Altererythrobacter troitsensis
Altererythrobacter xiamenensis
Alteribacillus bidgolensis
Alteribacillus iranensis
Alteribacillus persepolensis
Alteromonas australica
Alteromonas confluentis
Alteromonas lipolytica
Alteromonas macleodii
Alteromonas stellipolaris
Altibacter lentus
Alysiella crassa
Amantichitinum ursilacus
Aminiphilus circumscriptus
Aminobacter aminovorans
Aminobacterium colombiense
Aminobacterium mobile
Aminomonas paucivorans
Ammonifex degensii
Amorphus coralli
Amphibacillus jilinensis
Amphibacillus marinus
Amphibacillus sediminis
Amphibacillus xylanus
Amphiplicatus metriothermophilus
Amphritea atlantica
Amphritea japonica
Amycolatopsis australiensis
Amycolatopsis balhimycina
Amycolatopsis benzoatilytica
Amycolatopsis halophila
Amycolatopsis japonica
Amycolatopsis jejuensis
Amycolatopsis marina
Amycolatopsis methanolica
Amycolatopsis nigrescens
Amycolatopsis rubida
Amycolatopsis saalfeldensis
Amycolatopsis sacchari
Amycolatopsis taiwanensis
Amycolatopsis xylanica
Anabaena cylindrica
Anaeroarcus burkinensis
Anaerobacillus alkalilacustris
Anaerobacillus arseniciselenatis
Anaerobacillus macyae
Anaerobiospirillum succiniciproducens
Anaerobium acetethylicum
Anaerobranca californiensis
Anaerococcus lactolyticus
Anaerococcus mediterraneensis
Anaerococcus obesiensis
Anaerococcus pacaensis
Anaerococcus prevotii
Anaerococcus provencensis
Anaerococcus tetradius
Anaerococcus vaginalis
Anaerocolumna aminovalerica
Anaerocolumna jejuensis
Anaerocolumna xylanovorans
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaerolinea thermolimosa
Anaerolinea thermophila
Anaeromassilibacillus senegalensis
Anaeromyxobacter dehalogenans
Anaerophaga thermohalophila
Anaerorhabdus furcosa
Anaerosalibacter massiliensis
Anaerosphaera aminiphila
Anaerosporobacter mobilis
Anaerosporomusa subterranea
Anaerostipes caccae
Anaerostipes hadrus
Anaerotignum lactatifermentans
Anaerotignum neopropionicum
Anaerotignum propionicum
Anaerotruncus colihominis
